From_Table,From_Column,To_Table,To_Column,Relationship_Type,Issue_Severity,Cardinality,Cross_Filter_Direction,Business_Pattern,Data_Compatibility,Naming_Quality,Performance_Impact,Column_Compatibility_Score,Cardinality_Score,Naming_Score,Cross_Filter_Score,Performance_Score,Overall_Score,Score_Category,Score_Rationale,Severity_Priority,Severity_Color,Severity_Hex_Color,Severity_Visual
PY Trending,Business Type,Business Type,Business Type,EXISTING_PROBLEMATIC,critical,Unknown,Single,lookup_relationship,poor,standard,high,0.0,0.0,0.2,0.15,0.0,0.35,Poor,"The cardinality of the relationship is unknown, which is a critical issue. Verify the data types and ensure proper alignment between the 'Business Type' columns in both tables. Define the correct cardinality (e.g., Many-to-One or One-to-Many) based on the business logic. Additionally, assess the data overlap between the columns to ensure compatibility. Optimize the relationship to reduce high performance impact.",1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
Trending,Business Type,Business Type,Business Type,EXISTING_PROBLEMATIC,critical,Unknown,Single,lookup_relationship,poor,standard,high,0.0,0.0,0.2,0.15,0.0,0.35,Poor,"The cardinality of the relationship is unknown, which is a critical issue. Verify the data types and ensure proper alignment between the 'Business Type' columns in both tables. Define the correct cardinality (e.g., Many-to-One or One-to-Many) based on the business logic. Additionally, assess the data overlap between the columns to ensure compatibility. Optimize the relationship to reduce high performance impact.",1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
Trending,Fiscal Quarter,Fiscal Period,Fiscal Quarter,EXISTING_NEEDS_IMPROVEMENT,critical,Unknown,Single,generic,fair,standard,medium,0.2,0.0,0.2,0.1,0.05,0.55,Fair,"Define the cardinality explicitly (e.g., Many-to-One) based on the data model. Ensure better data alignment between the columns to improve compatibility.",1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
PY Trending,Fiscal Quarter,Fiscal Period,Fiscal Quarter,EXISTING_NEEDS_IMPROVEMENT,critical,Unknown,Single,generic,fair,standard,medium,0.2,0.0,0.2,0.1,0.05,0.55,Fair,"Define the cardinality explicitly (e.g., Many-to-One) based on the data model. Ensure better data alignment between the columns to improve compatibility.",1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
PY Trending,DatasetVersionkey,Trending Week,DatasetVersionKey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,generic,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,"Define the cardinality explicitly (e.g., Many-to-One) based on the data model. Verify the cross-filter direction for optimal performance.",2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
PY Trending,dimaccountfieldgeographyhierarchykey,Field Geography,dimaccountfieldgeographyhierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,generic,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,"Define the cardinality explicitly (e.g., Many-to-One) based on the data model. Verify the cross-filter direction for optimal performance.",2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
PY Trending,dimsegmenthierarchykey,Segment,dimsegmenthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,generic,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,"Define the cardinality explicitly (e.g., Many-to-One) based on the data model. Verify the cross-filter direction for optimal performance.",2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Close Rates,dimaccountfieldgeographyhierarchykey,Field Geography,dimaccountfieldgeographyhierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,generic,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,"Define the cardinality explicitly (e.g., Many-to-One) based on the data model. Verify the cross-filter direction for optimal performance.",2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Close Rates,dimsegmenthierarchykey,Segment,dimsegmenthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,generic,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,"Define the cardinality explicitly (e.g., Many-to-One) based on the data model. Verify the cross-filter direction for optimal performance.",2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Trending,dimaccountfieldgeographyhierarchykey,Field Geography,dimaccountfieldgeographyhierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,generic,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,"Define the cardinality explicitly (e.g., Many-to-One) based on the data model. Verify the cross-filter direction for optimal performance.",2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
