Table,Measure,Expression,Description,Issue_Severity,Has_Duplicate,Duplicate_Measure_Names,Has_Qualified_Measure_References,Qualified_Referenced_Measures,Has_All_Measure_References,All_Referenced_Measures,Has_Commonly_Used_Measure,DAX_Recommendations,Context,Self_Explanatory_Explanation,Name_Reflects_Explanation,Abbreviations_Explanation,Overall_Score,Max_Overall_Score,Confidence_Score,Unqualified_Measures_Score,Unqualified_Measures_Max_Score,Unique_Measure_Calculation_Score,Unique_Measure_Calculation_Max_Score,Commonly_Used_Measure_Score,Commonly_Used_Measure_Max_Score,Is_Self_Explanatory_Score,Is_Self_Explanatory_Max_Score,Name_Reflects_Expression_Score,Name_Reflects_Expression_Max_Score,Avoid_Abbreviations_Score,Avoid_Abbreviations_Max_Score,Severity_Priority,Severity_Color_Code,Severity_Hex_Color,Calculation_Type,Complexity_Score,Complexity_Management_Score,Complexity_Recommendations,Complexity_Management_Max_Score
Account,TPID Count,COUNT( Account[TPID] ),,good,No,,No,,No,,Yes,,TPID Count -> Account + COUNT( Account[TPID] ),"The name 'TPID Count' is self-explanatory as it clearly indicates it counts TPIDs, which is confirmed by the context.","The name accurately reflects the calculation, which is a count of TPIDs in the Account table.",There are no problematic abbreviations in the name; 'TPID' is a standard term.,2.0,2.0,1.0,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,4,GREEN,#00FF00,simple_aggregation,1.0,0.3,Formula follows Rule 4 complexity best practices,0.3
Account,# Accounts w/ Unified or Premier,"CALCULATE([TPID Count],KEEPFILTERS(Account[Has Premier Unified] = ""Yes""))",,warning,No,,No,,Yes,tpid count,No,,"# Accounts w/ Unified or Premier -> Account + CALCULATE([TPID Count],KEEPFILTERS(Account[Has Premier Unified] = ""Yes"")) | REFERENCES: TPID Count -> Account + COUNT( Account[TPID] )","The name '# Accounts w/ Unified or Premier' is self-explanatory as it indicates it counts accounts with Unified or Premier status, which aligns with the context.","The name reflects the calculation, which filters accounts with 'Has Premier Unified' set to 'Yes' and counts them.",There are no problematic abbreviations; the use of '#' for 'number of' and 'w/' for 'with' is widely understood.,1.6099999999999999,2.0,0.8049999999999999,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00,calculated_measure,0.7,0.21,"Rule 4: Format CALCULATE function: CALCULATE(\n    expression,\n    filter1,\n    filter2\n)",0.3
Account,ATQ Latest,AVERAGE(Account[ATQ]),,critical,No,,No,,No,,No,,ATQ Latest -> Account + AVERAGE(Account[ATQ]),The name 'ATQ Latest' is not self-explanatory as 'ATQ' is not a commonly understood term without additional context.,"The name does not clearly reflect the calculation, which is the average of the 'ATQ' field. The term 'Latest' is also unclear in this context.",'ATQ' is a cryptic abbreviation that is not commonly understood.,0.7,2.0,0.35,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.2,0.0,0.4,0.0,0.4,1,RED,#FF0000,simple_aggregation,1.0,0.3,Formula follows Rule 4 complexity best practices,0.3
Account,Understands Strategic Priorities Latest,AVERAGE(Account[UnderstandsStrategicPriorities]),,good,No,,No,,No,,No,,Understands Strategic Priorities Latest -> Account + AVERAGE(Account[UnderstandsStrategicPriorities]),"The name 'Understands Strategic Priorities Latest' is self-explanatory as it indicates it calculates the latest understanding of strategic priorities, which aligns with the context.","The name reflects the calculation, which is the average of the 'UnderstandsStrategicPriorities' field.",There are no problematic abbreviations in the name.,1.6999999999999997,2.0,0.8499999999999999,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,4,GREEN,#00FF00,simple_aggregation,1.0,0.3,Formula follows Rule 4 complexity best practices,0.3
Account,Identify Right Solutions Based on Needs Latest,AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds]),,good,No,,No,,No,,No,,Identify Right Solutions Based on Needs Latest -> Account + AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds]),"The name 'Identify Right Solutions Based on Needs Latest' is self-explanatory as it indicates it calculates the latest identification of solutions based on needs, which aligns with the context.","The name reflects the calculation, which is the average of the 'IdentifyRightSolutionsBasedonNeeds' field.",There are no problematic abbreviations in the name.,1.6999999999999997,2.0,0.8499999999999999,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,4,GREEN,#00FF00,simple_aggregation,1.0,0.3,Formula follows Rule 4 complexity best practices,0.3
Account,Delta ATQ,"IF(AVERAGE(Account[ATQ])=0,"""",AVERAGE(Account[delta_ATQ]))",,critical,No,,No,,No,,No,,"Delta ATQ -> Account + IF(AVERAGE(Account[ATQ])=0,"""",AVERAGE(Account[delta_ATQ]))",The name 'Delta ATQ' is not self-explanatory as 'ATQ' is not a commonly understood term without additional context.,"The name does not clearly reflect the calculation, which involves conditional logic and averages of 'delta_ATQ'.",'ATQ' is a cryptic abbreviation that is not commonly understood.,0.7,2.0,0.35,0.2,0.2,0.2,0.2,0.0,0.3,0.0,0.2,0.0,0.4,0.0,0.4,1,RED,#FF0000,simple_aggregation,1.0,0.3,Formula follows Rule 4 complexity best practices,0.3
Account,Delta Understands Strategic Priorities,"IF(AVERAGE(Account[UnderstandsStrategicPriorities])=0,"""",AVERAGE(Account[delta_UnderstandsStrategicPriorities]))",,warning,No,,No,,No,,No,,"Delta Understands Strategic Priorities -> Account + IF(AVERAGE(Account[UnderstandsStrategicPriorities])=0,"""",AVERAGE(Account[delta_UnderstandsStrategicPriorities]))","The name 'Delta Understands Strategic Priorities' is self-explanatory as it indicates it calculates the change (delta) in understanding strategic priorities, which aligns with the context.","The name reflects the calculation, which involves conditional logic and averages of 'delta_UnderstandsStrategicPriorities'.",There are no problematic abbreviations in the name.,1.6099999999999999,2.0,0.8049999999999999,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00,calculated_measure,0.7,0.21,Formula follows Rule 4 complexity best practices,0.3
Account,Delta Identify Right Solutions Based on Needs,"IF(AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds])=0,"""",AVERAGE(Account[delta_IdentifyRightSolutionsBasedonNeeds]))",,warning,No,,No,,No,,No,,"Delta Identify Right Solutions Based on Needs -> Account + IF(AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds])=0,"""",AVERAGE(Account[delta_IdentifyRightSolutionsBasedonNeeds]))","The name 'Delta Identify Right Solutions Based on Needs' is self-explanatory as it indicates it calculates the change (delta) in identifying solutions based on needs, which aligns with the context.","The name reflects the calculation, which involves conditional logic and averages of 'delta_IdentifyRightSolutionsBasedonNeeds'.",There are no problematic abbreviations in the name.,1.6099999999999999,2.0,0.8049999999999999,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00,calculated_measure,0.7,0.21,Formula follows Rule 4 complexity best practices,0.3
Account,% of Accounts with Exec Sponsor,"var num= CALCULATE(SUMX(VALUES('Account Plan Priority'[AccountPlanPriorityID]),1),
    KEEPFILTERS(Account[executivesponsorid] <> blank())
)
var den= SUMX( VALUES( 'Account Plan Priority'[AccountPlanPriorityID] ), 1 ) 


return DIVIDE(num,den)",,warning,No,,No,,No,,No,,"% of Accounts with Exec Sponsor -> Account + var num= CALCULATE(SUMX(VALUES('Account Plan Priority'[AccountPlanPriorityID]),1),
    KEEPFILTERS(Account[executivesponsorid] <> blank())
)
var den= SUMX( VALUES( 'Account Plan Priority'[AccountPlanPriorityID] ), 1 ) 


return DIVIDE(num,den)","The name '% of Accounts with Exec Sponsor' is self-explanatory as it indicates it calculates the percentage of accounts with an executive sponsor, which aligns with the context.","The name reflects the calculation, which divides the number of accounts with an executive sponsor by the total number of accounts.",There are no problematic abbreviations; 'Exec' is a standard abbreviation for 'Executive'.,1.67,2.0,0.835,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,3,YELLOW,#FFFF00,ratio_percentage,0.9,0.27,Formula follows Rule 4 complexity best practices,0.3
Account,Helps Maximize Solutions Latest,AVERAGE(Account[HelpsMaximizeSolutions]),,good,No,,No,,No,,No,,Helps Maximize Solutions Latest -> Account + AVERAGE(Account[HelpsMaximizeSolutions]),"The name 'Helps Maximize Solutions Latest' is self-explanatory as it indicates it calculates the latest value for helping maximize solutions, which aligns with the context.","The name reflects the calculation, which is the average of the 'HelpsMaximizeSolutions' field.",There are no problematic abbreviations in the name.,1.6999999999999997,2.0,0.8499999999999999,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.2,0.4,0.4,0.4,0.4,4,GREEN,#00FF00,simple_aggregation,1.0,0.3,Formula follows Rule 4 complexity best practices,0.3
