Table Name,Issue_Severity,Measure Name,Measure Formula,Calculation Type,AI Analyzed,Unique Measure Definition,Is Standard Measure,Self Explanatory Calculation Logic,Complexity Level,Meets Naming Convention Standards,Has Descriptions,Proper DAX References,Unique Measure Definition Score,Unique Measure Definition Max Score,Standard Measure Score,Standard Measure Max Score,Business Documentation Score,Business Documentation Max Score,Complexity Classification Score,Complexity Classification Max Score,Definition Based Naming Score,Definition Based Naming Max Score,Business Focused Naming Score,Business Focused Naming Max Score,DAX Reference Score,DAX Reference Max Score,Overall Score,Calculation Logic Score,Naming Score,Business Purpose,Standardized Calculation Logic Recommendations,Naming Conventions Recommendations
Account,Good,TPID Count,COUNT( Account[TPID] ),Simple Aggregation,Yes,No - The formula is unique and does not duplicate other measures.,"Yes - This measure aligns with standard business patterns as it provides a simple count of TPIDs, which is a common aggregation.",Yes - The calculation logic is straightforward and easy to understand as it uses the COUNT function.,"Low - The measure uses a single COUNT function, which is simple and appropriate for its purpose.","Yes - The name clearly reflects the calculation and business purpose, indicating it counts TPIDs.","No - No description is provided, which limits clarity for business users.","Yes - The formula uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.800,1.000,"Provides the count of TPIDs in the Account table, which is useful for reporting and analysis.",Ensure all measures have descriptions to improve business user understanding.,No changes needed as the naming convention is clear and descriptive.
Account,Warning,# Accounts w/ Unified or Premier,"CALCULATE([TPID Count],KEEPFILTERS(Account[Has Premier Unified] = ""Yes""))",Calculated Measure,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure does not align with standard business patterns and appears to be more specific to a particular business use case.,No - The calculation logic is not immediately clear without additional context or description.,"Medium - The measure uses CALCULATE with KEEPFILTERS, which adds moderate complexity but is appropriate for filtering specific conditions.","No - The name uses abbreviations ('#' and 'w/'), which are not business-friendly or self-explanatory.","No - No description is provided, which limits clarity for business users.","Yes - The formula uses fully qualified column references and measure references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.200,0.400,0.000,0.400,0.200,0.200,0.400,0.400,0.400,"Identifies the count of accounts with specific attributes (Unified or Premier), which is useful for targeted analysis.",Provide a description to explain the business purpose and calculation logic of the measure.,"Avoid abbreviations in the name and use clear, descriptive business language (e.g., 'Accounts with Unified or Premier')."
Account,Warning,ATQ Latest,AVERAGE(Account[ATQ]),Simple Aggregation,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure does not align with standard business patterns and appears to be specific to a particular business use case.,Yes - The calculation logic is straightforward and easy to understand as it uses the AVERAGE function.,"Low - The measure uses a single AVERAGE function, which is simple and appropriate for its purpose.",No - The name does not clearly reflect the calculation or business purpose. 'ATQ Latest' is ambiguous and could be improved.,"No - No description is provided, which limits clarity for business users.","Yes - The formula uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.000,0.400,0.200,0.200,0.450,0.500,0.400,"Calculates the average ATQ value, which is useful for performance analysis.",Provide a description to explain the business purpose and calculation logic of the measure.,"Update the name to clearly reflect the calculation and business purpose (e.g., 'Average ATQ Value')."
Account,Warning,Understands Strategic Priorities Latest,AVERAGE(Account[UnderstandsStrategicPriorities]),Simple Aggregation,Yes,No - The formula is unique and does not duplicate other measures.,No - The measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,Yes - The calculation logic is straightforward and uses a simple AVERAGE function.,"Low - The measure uses a single AVERAGE function without any nested logic, making it simple and easy to understand.","Yes - The name clearly reflects the calculation and business purpose, using descriptive and business-focused language.","No - The measure lacks a description, which would help explain its business purpose and calculation logic.","Yes - The formula uses fully qualified column references, adhering to DAX reference standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.750,0.500,1.000,Measures the average understanding of strategic priorities for accounts.,Consider adding a description to explain the business purpose of the measure in plain language.,No changes needed as the naming convention is clear and business-focused.
Account,Warning,Identify Right Solutions Based on Needs Latest,AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds]),Simple Aggregation,Yes,No - The formula is unique and does not duplicate other measures.,No - The measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,Yes - The calculation logic is straightforward and uses a simple AVERAGE function.,"Low - The measure uses a single AVERAGE function without any nested logic, making it simple and easy to understand.","Yes - The name clearly reflects the calculation and business purpose, using descriptive and business-focused language.","No - The measure lacks a description, which would help explain its business purpose and calculation logic.","Yes - The formula uses fully qualified column references, adhering to DAX reference standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.750,0.500,1.000,Measures the average ability to identify the right solutions based on account needs.,Consider adding a description to explain the business purpose of the measure in plain language.,No changes needed as the naming convention is clear and business-focused.
Account,Issue,Delta ATQ,"IF(AVERAGE(Account[ATQ])=0,"""",AVERAGE(Account[delta_ATQ]))",Complex Calculation,Yes,No - The formula is unique and does not duplicate other measures.,No - The measure does not align with standard enterprise measures like Total Sales Value or Gross Margin.,"No - The calculation logic includes nested functions and conditional logic, which may be difficult for business users to interpret.","Medium - The measure uses nested functions and conditional logic, increasing its complexity compared to simple aggregations.","Yes - The name reflects the calculation and business purpose, using descriptive and business-focused language.","No - The measure lacks a description, which would help explain its business purpose and calculation logic.","Yes - The formula uses fully qualified column references, adhering to DAX reference standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.700,0.400,1.000,"Calculates the delta of ATQ values for accounts, with conditional logic for handling zero values.",Simplify the calculation logic to make it more self-explanatory and easier for business users to understand. Add a description to clarify the business purpose.,No changes needed as the naming convention is clear and business-focused.
Account,Issue,Delta Understands Strategic Priorities,"IF(AVERAGE(Account[UnderstandsStrategicPriorities])=0,"""",AVERAGE(Account[delta_UnderstandsStrategicPriorities]))",Calculated Measure,Yes,No - The formula is unique and does not duplicate other measures.,No - The measure does not align with standard business patterns like Total Sales Value or Gross Margin.,"No - The formula uses nested functions and lacks a description, making it difficult to understand its business purpose.","Medium - The measure uses nested functions (3 levels) and conditional logic, which adds moderate complexity.",No - The name is somewhat descriptive but could be clearer and more aligned with business terminology.,"No - The measure lacks a description, which reduces its clarity and usability for business users.","Yes - The formula uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.500,0.400,0.600,Evaluate the change in understanding of strategic priorities for accounts.,Add a clear description to explain the business purpose of the measure. Simplify the formula if possible to reduce complexity.,"Consider renaming the measure to better reflect its business purpose, such as 'Delta Strategic Priority Understanding'."
Account,Issue,Delta Identify Right Solutions Based on Needs,"IF(AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds])=0,"""",AVERAGE(Account[delta_IdentifyRightSolutionsBasedonNeeds]))",Calculated Measure,Yes,No - The formula is unique and does not duplicate other measures.,No - The measure does not align with standard business patterns like Total Sales Value or Gross Margin.,"No - The formula uses nested functions and lacks a description, making it difficult to understand its business purpose.","Medium - The measure uses nested functions (3 levels) and conditional logic, which adds moderate complexity.",No - The name is somewhat descriptive but could be clearer and more aligned with business terminology.,"No - The measure lacks a description, which reduces its clarity and usability for business users.","Yes - The formula uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.500,0.400,0.600,Evaluate the change in identifying solutions based on account needs.,Add a clear description to explain the business purpose of the measure. Simplify the formula if possible to reduce complexity.,"Consider renaming the measure to better reflect its business purpose, such as 'Delta Solution Identification Based on Needs'."
Account,Critical,% of Accounts with Exec Sponsor,"var num= CALCULATE(SUMX(VALUES('Account Plan Priority'[AccountPlanPriorityID]),1),
    KEEPFILTERS(Account[executivesponsorid] <> blank())
)
var den= SUMX( VALUES( 'Account Plan Priority'[AccountPlanPriorityID] ), 1 ) 


return DIVIDE(num,den)",Ratio Percentage,Yes,No - The formula is unique and does not duplicate other measures.,No - The measure does not align with standard business patterns like Total Sales Value or Gross Margin.,"No - The formula is truncated and lacks a description, making it difficult to understand its business purpose.","High - The measure uses 8 nested functions and complex logic, making it unnecessarily difficult to interpret.",No - The name is somewhat descriptive but could be clearer and more aligned with business terminology.,"No - The measure lacks a description, which reduces its clarity and usability for business users.","No - The formula is truncated, making it impossible to verify proper DAX referencing.",0.200,0.200,0.000,0.300,0.000,0.200,0.000,0.300,0.200,0.400,0.200,0.400,0.000,0.200,0.300,0.200,0.400,Calculate the percentage of accounts with an executive sponsor.,Provide a complete formula and add a clear description to explain the business purpose of the measure. Simplify the formula to reduce complexity.,"Consider renaming the measure to better reflect its business purpose, such as 'Percentage of Accounts with Executive Sponsor'."
Account,Issue,Helps Maximize Solutions Latest,AVERAGE(Account[HelpsMaximizeSolutions]),Simple Aggregation,Yes,No - The formula is unique and does not duplicate other measures.,No - This measure does not align with standard business patterns like Total Sales Value or Gross Margin.,No - The measure lacks a description and does not provide clarity on its business purpose.,Low - The formula uses a simple AVERAGE function without any nested logic.,No - The name is not descriptive enough and does not clearly reflect the calculation logic or business purpose.,"No - The measure does not have a description, making it difficult to understand its business purpose.","Yes - The formula uses fully qualified column references, which adhere to DAX reference standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.000,0.400,0.000,0.400,0.200,0.200,0.350,0.500,0.200,Calculate the average value of the 'HelpsMaximizeSolutions' column for accounts.,Provide a clear description explaining the business purpose of the measure. Consider aligning the measure with standard business patterns if applicable.,"Rename the measure to better reflect its calculation and business purpose. For example, 'Average_Helps_Maximize_Solutions'."
