Table,Measure,Expression,Issue_Severity,Has_Duplicate,Duplicate_Measure_Names,Has_Qualified_Measure_References,Qualified_Referenced_Measures,Has_All_Measure_References,All_Referenced_Measures,Measure_Complexity_Level,Measure_Complexity_Explanation,Calculation_Type,Complexity_Recommendations,Has_Commonly_Used_Measure,Commonly_Used_Explanation,DAX_Recommendations,Self_Explanatory_Explanation,Name_Reflects_Explanation,Abbreviations_Explanation,Unqualified_Measures_Score,Unqualified_Measures_Max_Score,Unique_Measure_Calculation_Score,Unique_Measure_Calculation_Max_Score,Commonly_Used_Measure_Score,Commonly_Used_Measure_Max_Score,Measure_Complexity_Score,Measure_Complexity_Max_Score,Is_Self_Explanatory_Score,Is_Self_Explanatory_Max_Score,Name_Reflects_Expression_Score,Name_Reflects_Expression_Max_Score,Avoid_Abbreviations_Score,Avoid_Abbreviations_Max_Score,Overall_Score,Max_Score,Confidence_Score
Account,TPID Count,COUNT( Account[TPID] ),good,No,,No,,No,,Low,"Low complexity due to simple structure and clear purpose. Details: Simple aggregation function (SUM, COUNT, AVERAGE, etc.)",simple_aggregation,Formula follows measure complexity best practices,Yes,"Referenced by 8 measure(s): # Accounts w/ Unified or Premier, % of Accounts with sep, % of Accounts with ACSP and 5 more",,"The name 'TPID Count' is self-explanatory as it clearly indicates it counts TPIDs, which are identifiers in the Account table.","The name accurately reflects the calculation, which is COUNT(Account[TPID]).","The abbreviation 'TPID' is a standard Microsoft term (Top Parent ID) and widely understood, so no problematic abbreviations are present.",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,2.0,2.0,1.0
Account,# Accounts w/ Unified or Premier,"CALCULATE([TPID Count],KEEPFILTERS(Account[Has Premier Unified] = ""Yes""))",warning,No,,No,,Yes,tpid count,Medium,Medium complexity due to moderate business logic or formatting. Details: Calculated measure with intermediate business logic,calculated_measure,"Format CALCULATE function: CALCULATE(\n    expression,\n    filter1,\n    filter2\n); Consider simplifying business logic or adding better documentation",No,Not referenced by any other measures in the model,,The name '# Accounts w/ Unified or Premier' is self-explanatory as it indicates it calculates the number of accounts with Unified or Premier services.,"The name reflects the calculation, which filters accounts with 'Has Premier Unified' set to 'Yes' and uses TPID Count.","The abbreviation '#' for 'Number of' is universally understood, and no problematic abbreviations are present.",0.2,0.2,0.2,0.2,0.0,0.3,0.15,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.5499999999999998,2.0,0.7749999999999999
Account,ATQ Latest,AVERAGE(Account[ATQ]),good,No,,No,,No,,Low,"Low complexity due to simple structure and clear purpose. Details: Simple aggregation function (SUM, COUNT, AVERAGE, etc.)",simple_aggregation,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name 'ATQ Latest' is self-explanatory as it indicates it calculates the latest ATQ (Adjusted Time Quarter) value.,"The name reflects the calculation, which averages the ATQ values in the Account table.","The abbreviation 'ATQ' is a standard Microsoft term (Adjusted Time Quarter) and widely understood, so no problematic abbreviations are present.",0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Account,Understands Strategic Priorities Latest,AVERAGE(Account[UnderstandsStrategicPriorities]),good,No,,No,,No,,Low,"Low complexity due to simple structure and clear purpose. Details: Simple aggregation function (SUM, COUNT, AVERAGE, etc.)",simple_aggregation,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name 'Understands Strategic Priorities Latest' is self-explanatory as it indicates it calculates the latest value for understanding strategic priorities.,"The name reflects the calculation, which averages the 'UnderstandsStrategicPriorities' field in the Account table.",No problematic abbreviations are present in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Account,Identify Right Solutions Based on Needs Latest,AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds]),good,No,,No,,No,,Low,"Low complexity due to simple structure and clear purpose. Details: Simple aggregation function (SUM, COUNT, AVERAGE, etc.)",simple_aggregation,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name 'Identify Right Solutions Based on Needs Latest' is self-explanatory as it indicates it calculates the latest value for identifying solutions based on needs.,"The name reflects the calculation, which averages the 'IdentifyRightSolutionsBasedonNeeds' field in the Account table.",No problematic abbreviations are present in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Account,Delta ATQ,"IF(AVERAGE(Account[ATQ])=0,"""",AVERAGE(Account[delta_ATQ]))",good,No,,No,,No,,Low,"Low complexity due to simple structure and clear purpose. Details: Simple aggregation function (SUM, COUNT, AVERAGE, etc.)",simple_aggregation,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name 'Delta ATQ' is self-explanatory as it indicates it calculates the change (delta) in ATQ values.,"The name reflects the calculation, which computes the average delta of ATQ values.","The abbreviation 'ATQ' is a standard Microsoft term (Adjusted Time Quarter) and widely understood, so no problematic abbreviations are present.",0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
Account,Delta Understands Strategic Priorities,"IF(AVERAGE(Account[UnderstandsStrategicPriorities])=0,"""",AVERAGE(Account[delta_UnderstandsStrategicPriorities]))",warning,No,,No,,No,,Medium,Medium complexity due to moderate business logic or formatting. Details: Calculated measure with intermediate business logic; Moderate length expression (112 characters); Single-line format reduces readability,calculated_measure,Consider simplifying business logic or adding better documentation,No,Not referenced by any other measures in the model,,The name 'Delta Understands Strategic Priorities' is self-explanatory as it indicates it calculates the change (delta) in understanding strategic priorities.,"The name reflects the calculation, which computes the average delta of 'UnderstandsStrategicPriorities' values.",No problematic abbreviations are present in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.15,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.5499999999999998,2.0,0.7749999999999999
Account,Delta Identify Right Solutions Based on Needs,"IF(AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds])=0,"""",AVERAGE(Account[delta_IdentifyRightSolutionsBasedonNeeds]))",warning,No,,No,,No,,Medium,Medium complexity due to moderate business logic or formatting. Details: Calculated measure with intermediate business logic; Moderate length expression (120 characters); Single-line format reduces readability,calculated_measure,Consider simplifying business logic or adding better documentation,No,Not referenced by any other measures in the model,,The name 'Delta Identify Right Solutions Based on Needs' is self-explanatory as it indicates it calculates the change (delta) in identifying solutions based on needs.,"The name reflects the calculation, which computes the average delta of 'IdentifyRightSolutionsBasedonNeeds' values.",No problematic abbreviations are present in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.15,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.5499999999999998,2.0,0.7749999999999999
Account,% of Accounts with Exec Sponsor,"var num= CALCULATE(SUMX(VALUES('Account Plan Priority'[AccountPlanPriorityID]),1),
    KEEPFILTERS(Account[executivesponsorid] <> blank())
)
var den= SUMX( VALUES( 'Account Plan Priority'[AccountPlanPriorityID] ), 1 ) 


return DIVIDE(num,den)",warning,No,,No,,No,,Medium,Medium complexity due to moderate business logic or formatting. Details: Ratio or percentage calculation with clear business logic; Moderate length expression (243 characters); High function nesting (8 nested functions); Well-formatted with line breaks,ratio_percentage,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name '% of Accounts with Exec Sponsor' is self-explanatory as it indicates it calculates the percentage of accounts with an executive sponsor.,"The name reflects the calculation, which divides the number of accounts with an executive sponsor by the total number of accounts.",No problematic abbreviations are present in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.15,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.5499999999999998,2.0,0.7749999999999999
Account,Helps Maximize Solutions Latest,AVERAGE(Account[HelpsMaximizeSolutions]),good,No,,No,,No,,Low,"Low complexity due to simple structure and clear purpose. Details: Simple aggregation function (SUM, COUNT, AVERAGE, etc.)",simple_aggregation,Formula follows measure complexity best practices,No,Not referenced by any other measures in the model,,The name 'Helps Maximize Solutions Latest' is self-explanatory as it indicates it calculates the latest value for maximizing solutions.,"The name reflects the calculation, which averages the 'HelpsMaximizeSolutions' field in the Account table.",No problematic abbreviations are present in the name.,0.2,0.2,0.2,0.2,0.0,0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,1.6999999999999997,2.0,0.8499999999999999
