From_Table,From_Column,To_Table,To_Column,Relationship_Type,Issue_Severity,Cardinality,Cross_Filter_Direction,Business_Pattern,Data_Compatibility,Naming_Quality,Performance_Impact,Column_Compatibility_Score,Cardinality_Score,Naming_Score,Cross_Filter_Score,Performance_Score,Overall_Score,Score_Category,Score_Rationale,Severity_Priority,Severity_Color,Severity_Hex_Color,Severity_Visual
PY Trending,Business Type,Business Type,Business Type,EXISTING_PROBLEMATIC,critical,Unknown,Single,lookup_relationship,poor,standard,high,0.0,0.0,0.2,0.15,0.0,0.35,Poor,The relationship has poor data compatibility due to unknown cardinality and potential data misalignment. Verify the data types and ensure proper alignment between 'PY Trending[Business Type]' and 'Business Type[Business Type]'. Define the cardinality explicitly (preferably Many-to-One for a lookup relationship). Optimize the relationship for performance by ensuring proper indexing and data structure.,1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
Trending,Business Type,Business Type,Business Type,EXISTING_PROBLEMATIC,critical,Unknown,Single,lookup_relationship,poor,standard,high,0.0,0.0,0.2,0.15,0.0,0.35,Poor,The relationship has poor data compatibility due to unknown cardinality and potential data misalignment. Verify the data types and ensure proper alignment between 'Trending[Business Type]' and 'Business Type[Business Type]'. Define the cardinality explicitly (preferably Many-to-One for a lookup relationship). Optimize the relationship for performance by ensuring proper indexing and data structure.,1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
PY Trending,DatasetVersionkey,Trending Week,DatasetVersionKey,EXISTING_NEEDS_IMPROVEMENT,critical,Unknown,Single,generic,good,acceptable,medium,0.25,0.0,0.15,0.1,0.05,0.55,Fair,Define the cardinality explicitly (likely Many-to-One). Consider standardizing the column naming convention.,1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
PY Trending,dimaccountfieldgeographyhierarchykey,Field Geography,dimaccountfieldgeographyhierarchykey,EXISTING_NEEDS_IMPROVEMENT,critical,Unknown,Single,generic,good,acceptable,medium,0.25,0.0,0.15,0.1,0.05,0.55,Fair,Define the cardinality explicitly (likely Many-to-One). Consider standardizing the column naming convention.,1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
PY Trending,dimsegmenthierarchykey,Segment,dimsegmenthierarchykey,EXISTING_NEEDS_IMPROVEMENT,critical,Unknown,Single,generic,good,acceptable,medium,0.25,0.0,0.15,0.1,0.05,0.55,Fair,Define the cardinality explicitly (likely Many-to-One). Consider standardizing the column naming convention.,1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
Close Rates,dimaccountfieldgeographyhierarchykey,Field Geography,dimaccountfieldgeographyhierarchykey,EXISTING_NEEDS_IMPROVEMENT,critical,Unknown,Single,generic,good,acceptable,medium,0.25,0.0,0.15,0.1,0.05,0.55,Fair,Define the cardinality explicitly (likely Many-to-One). Consider standardizing the column naming convention.,1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
Close Rates,dimsegmenthierarchykey,Segment,dimsegmenthierarchykey,EXISTING_NEEDS_IMPROVEMENT,critical,Unknown,Single,generic,good,acceptable,medium,0.25,0.0,0.15,0.1,0.05,0.55,Fair,Define the cardinality explicitly (likely Many-to-One). Consider standardizing the column naming convention.,1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
Trending,dimaccountfieldgeographyhierarchykey,Field Geography,dimaccountfieldgeographyhierarchykey,EXISTING_NEEDS_IMPROVEMENT,critical,Unknown,Single,generic,good,acceptable,medium,0.25,0.0,0.15,0.1,0.05,0.55,Fair,Define the cardinality explicitly (likely Many-to-One). Consider standardizing the column naming convention.,1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
Budget,FiscalQuarter,Fiscal Period,Fiscal Quarter,EXISTING_NEEDS_IMPROVEMENT,critical,Unknown,Single,date_relationship,fair,acceptable,medium,0.2,0.0,0.15,0.15,0.05,0.55,Fair,Ensure data alignment between FiscalQuarter columns and define the cardinality explicitly. Improve naming conventions for clarity and optimize for performance.,1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
CFO Forecast,FiscalQuarter,Fiscal Period,Fiscal Quarter,EXISTING_NEEDS_IMPROVEMENT,critical,Unknown,Single,date_relationship,fair,acceptable,medium,0.2,0.0,0.15,0.15,0.05,0.55,Fair,Ensure data alignment between FiscalQuarter columns and define the cardinality explicitly. Improve naming conventions for clarity and optimize for performance.,1,🔴 CRITICAL,#FF0000,🔴 CRITICAL: critical
Trending,Fiscal Quarter,Fiscal Period,Fiscal Quarter,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,generic,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,Define the cardinality explicitly (likely Many-to-One). Ensure data alignment is above 85% for better compatibility.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
PY Trending,Fiscal Quarter,Fiscal Period,Fiscal Quarter,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,generic,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,Define the cardinality explicitly (likely Many-to-One). Ensure data alignment is above 85% for better compatibility.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Trending,DatasetVersionkey,Trending Week,DatasetVersionKey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,lookup_relationship,good,acceptable,medium,0.25,0.0,0.15,0.15,0.05,0.6000000000000001,Good,"Define the cardinality explicitly (e.g., Many-to-One) and ensure naming conventions are consistent. Validate data alignment and optimize for performance.",2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Close Rates,dimproducthierarchykey,Product,dimproducthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,Define the cardinality explicitly as Many-to-One to ensure proper relationship behavior. Verify data alignment and ensure the cross-filter direction is optimal for the business use case.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Trending,dimproducthierarchykey,Product,dimproducthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,Define the cardinality explicitly as Many-to-One to ensure proper relationship behavior. Verify data alignment and ensure the cross-filter direction is optimal for the business use case.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Budget,dimproducthierarchykey,Product,dimproducthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,Define the cardinality explicitly as Many-to-One to ensure proper relationship behavior. Verify data alignment and ensure the cross-filter direction is optimal for the business use case.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
CFO Forecast,dimproducthierarchykey,Product,dimproducthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,Define the cardinality explicitly as Many-to-One to ensure proper relationship behavior. Verify data alignment and ensure the cross-filter direction is optimal for the business use case.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
PY Trending,dimproducthierarchykey,Product,dimproducthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,Define the cardinality explicitly as Many-to-One to ensure proper relationship behavior. Verify data alignment and ensure the cross-filter direction is optimal for the business use case.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Budget,BusinessType,Business Type,Business Type,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,lookup_relationship,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,Define the cardinality explicitly as Many-to-One to ensure proper relationship behavior. Verify data alignment and ensure the cross-filter direction is optimal for the business use case.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
CFO Forecast,BusinessType,Business Type,Business Type,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,lookup_relationship,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,Define the cardinality explicitly as Many-to-One to ensure proper relationship behavior. Verify data alignment and ensure the cross-filter direction is optimal for the business use case.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Close Rates,Business Type,Business Type,Business Type,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,lookup_relationship,good,standard,medium,0.25,0.0,0.2,0.1,0.05,0.6000000000000001,Good,Define the cardinality explicitly as Many-to-One to ensure proper relationship behavior. Verify data alignment and ensure the cross-filter direction is optimal for the business use case.,2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Trending,dimsegmenthierarchykey,Segment,dimsegmenthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,good,standard,medium,0.25,0.0,0.2,0.15,0.05,0.65,Good,"Define the cardinality explicitly (e.g., Many-to-One) to ensure proper relationship behavior. Verify data alignment and ensure the relationship is optimized for performance.",2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Budget,dimsegmenthierarchykey,Segment,dimsegmenthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,good,standard,medium,0.25,0.0,0.2,0.15,0.05,0.65,Good,"Define the cardinality explicitly (e.g., Many-to-One) and validate data alignment. Ensure the relationship is optimized for performance.",2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
Budget,dimaccountfieldgeographyhierarchykey,Field Geography,dimaccountfieldgeographyhierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,good,standard,medium,0.25,0.0,0.2,0.15,0.05,0.65,Good,"Define the cardinality explicitly (e.g., Many-to-One) and validate data alignment. Ensure the relationship is optimized for performance.",2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
CFO Forecast,dimaccountfieldgeographyhierarchykey,Field Geography,dimaccountfieldgeographyhierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,good,standard,medium,0.25,0.0,0.2,0.15,0.05,0.65,Good,"Define the cardinality explicitly (e.g., Many-to-One) and validate data alignment. Ensure the relationship is optimized for performance.",2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
CFO Forecast,dimsegmenthierarchykey,Segment,dimsegmenthierarchykey,EXISTING_NEEDS_IMPROVEMENT,issue,Unknown,Single,fact_to_dimension,good,standard,medium,0.25,0.0,0.2,0.15,0.05,0.65,Good,"Define the cardinality explicitly (e.g., Many-to-One) and validate data alignment. Ensure the relationship is optimized for performance.",2,🟠 ISSUE,#FF8C00,🟠 ISSUE: issue
