Table Name,Issue_Severity,Measure Name,Measure Formula,Calculation Type,AI Analyzed,Have Same Measure Definition,Is Standard Measure,Self Explanatory Calculation Logic,Complexity Level,Meets Naming Convention Standards,Has Descriptions,Proper DAX References,Duplicate Measure Definition Score,Duplicate Measure Definition Max Score,Standard Library Measures Score,Standard Library Measures Max Score,Business Documentation Quality Score,Business Documentation Quality Max Score,Complexity Classification Score,Complexity Classification Max Score,Definition Based Naming Score,Definition Based Naming Max Score,Business Focused Naming Score,Business Focused Naming Max Score,DAX Reference Standards Score,DAX Reference Standards Max Score,Overall Score,Calculation Logic Score,Naming Score,Business Purpose,Standardized Calculation Logic Recommendations,Naming Conventions Recommendations
Account,Warning,TPID Count,COUNT( Account[TPID] ),Simple Aggregation,Yes,"No - The measure uses a simple COUNT function on a specific column, and no duplicates of this definition were identified.",Yes - Counting unique identifiers (TPID) is a common business requirement and aligns with standard enterprise practices.,Yes - The calculation logic is straightforward and easy to understand as it simply counts the TPID column.,Low - The measure uses a single COUNT function without any additional complexity.,Yes - The name clearly reflects the calculation logic and business purpose (counting TPIDs).,"No - No description is provided, which limits the ability to understand the business context of the measure.","Yes - The formula uses fully qualified column references (Account[TPID]), adhering to DAX standards.",0.200,0.200,0.300,0.300,0.000,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.900,0.800,1.000,"Counts the number of TPIDs in the Account table, which can be used for reporting on account-level metrics.",Consider adding a description to explain the business purpose of counting TPIDs to improve documentation quality.,No changes needed as the naming convention is clear and aligns with the measure's calculation.
Account,Warning,# Accounts w/ Unified or Premier,"CALCULATE([TPID Count],KEEPFILTERS(Account[Has Premier Unified] = ""Yes""))",Calculated Measure,Yes,"No - The measure uses CALCULATE with KEEPFILTERS to filter accounts with 'Has Premier Unified' = 'Yes', and no duplicates of this definition were identified.",Yes - Filtering accounts based on specific criteria is a common business requirement and aligns with enterprise standards.,"No - The calculation logic is moderately complex due to the use of KEEPFILTERS, which may not be immediately clear to business users.","Medium - The measure uses CALCULATE with KEEPFILTERS, which adds moderate complexity compared to simple aggregations.",Yes - The name clearly reflects the calculation logic and business purpose (counting accounts with specific criteria).,"No - No description is provided, which limits the ability to understand the business context of the measure.","Yes - The formula uses fully qualified column references (Account[Has Premier Unified]), adhering to DAX standards.",0.200,0.200,0.300,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.850,0.700,1.000,"Counts accounts with 'Has Premier Unified' = 'Yes', supporting reporting on account segmentation.",Consider simplifying the logic or providing a description to explain the use of KEEPFILTERS for business users.,No changes needed as the naming convention is clear and aligns with the measure's calculation.
Account,Issue,ATQ Latest,AVERAGE(Account[ATQ]),Simple Aggregation,Yes,"No - The measure uses AVERAGE on the ATQ column, and no duplicates of this definition were identified.",No - Averaging ATQ values is not a standard enterprise measure and appears to be ad-hoc.,Yes - The calculation logic is straightforward and easy to understand as it averages the ATQ column.,Low - The measure uses a single AVERAGE function without any additional complexity.,No - The name 'ATQ Latest' does not clearly reflect the calculation logic (average of ATQ values).,"No - No description is provided, which limits the ability to understand the business context of the measure.","Yes - The formula uses fully qualified column references (Account[ATQ]), adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.550,0.500,0.600,"Averages ATQ values for reporting purposes, but the business use case is unclear.",Consider adding a description to explain the business purpose of averaging ATQ values.,Rename the measure to 'Average_ATQ' to better reflect the calculation logic.
Account,Issue,Understands Strategic Priorities Latest,AVERAGE(Account[UnderstandsStrategicPriorities]),Simple Aggregation,Yes,No - The formula is unique and does not duplicate other measures in the dataset.,No - The measure does not align with standard enterprise measures like Total Sales or Gross Margin.,No - The calculation logic is simple but lacks a description to explain its business purpose.,Low - The formula uses a single aggregation function (AVERAGE) and is straightforward.,"No - The name is descriptive but overly verbose, making it less user-friendly.","No - The measure lacks a description, which reduces its clarity for business users.","Yes - The formula uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.550,0.500,0.600,Evaluate the average understanding of strategic priorities for accounts.,Add a description to explain the business purpose of the measure. Consider aligning the measure with enterprise standards if applicable.,"Simplify the measure name to make it more user-friendly while retaining clarity (e.g., 'Avg_Understands_Strategic_Priorities')."
Account,Issue,Identify Right Solutions Based on Needs Latest,AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds]),Simple Aggregation,Yes,No - The formula is unique and does not duplicate other measures in the dataset.,No - The measure does not align with standard enterprise measures like Total Sales or Gross Margin.,No - The calculation logic is simple but lacks a description to explain its business purpose.,Low - The formula uses a single aggregation function (AVERAGE) and is straightforward.,"No - The name is descriptive but overly verbose, making it less user-friendly.","No - The measure lacks a description, which reduces its clarity for business users.","Yes - The formula uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.550,0.500,0.600,Evaluate the average ability to identify the right solutions based on needs for accounts.,Add a description to explain the business purpose of the measure. Consider aligning the measure with enterprise standards if applicable.,"Simplify the measure name to make it more user-friendly while retaining clarity (e.g., 'Avg_Identify_Right_Solutions')."
Account,Warning,Delta ATQ,"IF(AVERAGE(Account[ATQ])=0,"""",AVERAGE(Account[delta_ATQ]))",Complex Calculation,Yes,No - The formula is unique and does not duplicate other measures in the dataset.,No - The measure does not align with standard enterprise measures but serves a specific business purpose.,Yes - The logic is clear and includes conditional handling for zero values.,"Medium - The formula uses nested functions and conditional logic, making it moderately complex.",Yes - The name is concise and reflects the calculation logic accurately.,"No - The measure lacks a description, which reduces its clarity for business users.","Yes - The formula uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.700,0.400,1.000,"Calculate the delta ATQ value for accounts, with conditional handling for zero values.",Add a description to explain the business purpose of the measure. Consider aligning the measure with enterprise standards if applicable.,The naming convention is appropriate; no changes are needed.
Account,Issue,Delta Understands Strategic Priorities,"IF(AVERAGE(Account[UnderstandsStrategicPriorities])=0,"""",AVERAGE(Account[delta_UnderstandsStrategicPriorities]))",Simple Aggregation,Yes,No - The formula is unique and does not duplicate other measures in the dataset.,No - This measure does not align with standard business patterns like Total Sales or YoY Growth.,No - The calculation logic is not intuitive and lacks a description to explain its purpose.,"Low - The formula uses basic DAX functions (IF, AVERAGE) and is straightforward.",No - The name is somewhat descriptive but could be clearer and more aligned with enterprise naming conventions.,"No - The measure lacks a description, making it difficult for users to understand its purpose.","Yes - The formula uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.550,0.500,0.600,Tracks the average delta for understanding strategic priorities across accounts.,Add a description to explain the business purpose of the measure. Consider aligning the measure with standard business patterns if applicable.,Refine the name to better reflect the calculation and align with enterprise naming standards.
Account,Issue,Delta Identify Right Solutions Based on Needs,"IF(AVERAGE(Account[IdentifyRightSolutionsBasedonNeeds])=0,"""",AVERAGE(Account[delta_IdentifyRightSolutionsBasedonNeeds]))",Simple Aggregation,Yes,No - The formula is unique and does not duplicate other measures in the dataset.,No - This measure does not align with standard business patterns like Total Sales or YoY Growth.,No - The calculation logic is not intuitive and lacks a description to explain its purpose.,"Low - The formula uses basic DAX functions (IF, AVERAGE) and is straightforward.",No - The name is somewhat descriptive but could be clearer and more aligned with enterprise naming conventions.,"No - The measure lacks a description, making it difficult for users to understand its purpose.","Yes - The formula uses fully qualified column references, adhering to DAX standards.",0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.200,0.400,0.200,0.200,0.550,0.500,0.600,Tracks the average delta for identifying the right solutions based on needs across accounts.,Add a description to explain the business purpose of the measure. Consider aligning the measure with standard business patterns if applicable.,Refine the name to better reflect the calculation and align with enterprise naming standards.
Account,Warning,% of Accounts with Exec Sponsor,"var num= CALCULATE(SUMX(VALUES('Account Plan Priority'[AccountPlanPriorityID]),1),
    KEEPFILTERS(Account[executivesponsorid] <> blank())
)
var den= SUMX( VALUES( 'Account Plan Priority'[AccountPlanPriorityID] ), 1 ) 


return DIVIDE(num,den)",Ratio Percentage,Yes,No - The formula is unique and does not duplicate other measures in the dataset.,Yes - This measure aligns with standard business patterns by calculating a percentage metric relevant to account planning.,"Yes - The calculation logic is clear and aligns with the measure name, though the truncated formula limits full visibility.","Medium - The formula uses intermediate DAX functions (SUMX, CALCULATE, KEEPFILTERS) and is moderately complex.","Yes - The name is clear, descriptive, and aligns with enterprise naming standards.","No - The measure lacks a description, which would improve user understanding.",Yes - The formula uses fully qualified column references and adheres to DAX standards.,0.200,0.200,0.300,0.300,0.000,0.200,0.200,0.300,0.400,0.400,0.400,0.400,0.200,0.200,0.850,0.700,1.000,"Calculates the percentage of accounts with an executive sponsor, supporting account planning insights.",Add a description to explain the business purpose of the measure. Ensure the full formula is visible for better transparency.,No changes needed; the name is already clear and descriptive.
Account,Issue,Helps Maximize Solutions Latest,AVERAGE(Account[HelpsMaximizeSolutions]),Simple Aggregation,Yes,No - The formula is unique and does not duplicate other measures in the dataset.,No - The measure does not align with standard business patterns like Total Sales or Gross Margin.,No - The measure lacks a description and does not clearly explain its business purpose.,"Low - The formula uses a simple aggregation (AVERAGE) with no nested functions, making it straightforward.",No - The name is unclear and does not directly reflect the calculation logic or business purpose.,"No - The measure lacks a description, which makes it difficult to understand its business context.",Yes - The formula uses fully qualified column references (Account[HelpsMaximizeSolutions]).,0.200,0.200,0.000,0.300,0.000,0.200,0.300,0.300,0.200,0.400,0.000,0.400,0.200,0.200,0.450,0.500,0.400,Provides the average value of HelpsMaximizeSolutions for accounts.,Add a clear description to explain the business purpose of the measure. Consider aligning the measure with standard business patterns if applicable.,"Rename the measure to better reflect its calculation logic and business purpose, avoiding ambiguity."
Account,Issue,Delta Helps Maximize Solutions Value,"IF(AVERAGE(Account[HelpsMaximizeSolutions])=0,"""",AVERAGE(Account[delta_HelpsMaximizeSolutions]))",Complex Calculation,Yes,No - The formula is unique and does not duplicate other measures in the dataset.,No - The measure does not align with standard business patterns like Total Sales or Gross Margin.,"No - The measure lacks a description and uses nested functions, making it harder to understand.","Medium - The formula uses nested functions (IF and AVERAGE), adding moderate complexity.",No - The name is unclear and does not directly reflect the calculation logic or business purpose.,"No - The measure lacks a description, which makes it difficult to understand its business context.",Yes - The formula uses fully qualified column references (Account[HelpsMaximizeSolutions]).,0.200,0.200,0.000,0.300,0.000,0.200,0.200,0.300,0.200,0.400,0.000,0.400,0.200,0.200,0.400,0.400,0.400,"Calculates the delta value for HelpsMaximizeSolutions, considering a conditional logic.",Add a clear description to explain the business purpose of the measure. Simplify the formula if possible to reduce complexity.,"Rename the measure to better reflect its calculation logic and business purpose, avoiding ambiguity."
